% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
106 +9.431649088e+02 +9.431649088e+02 +9.469849088e+02 +9.469849088e+02 -3.5632e+00 -2.6667e+00 +3.5981e+00 -3.3800e+00 -1.3504e+00 +4.9038e+00 +3.8463e+00 +3.4185e+00 +1.9104e+00 -3.3293e+00 +3.2121e+00 -2.3260e+00 +4.0299e-01 -3.9834e+00 +4.2184e+00 -3.4362e+00 -1.4548e+00 +4.4219e+00 -9.5917e-01 +2.7379e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.761948631e+03 +2.761948631e+03 +2.783698631e+03 +2.783698631e+03 -6.1811e-01 -1.8339e+00 +3.1030e+00 +5.9589e-01 -1.8087e+00 -3.0341e+00 +3.2688e+00 +9.1859e-01 +4.3581e-01 -4.8560e+00 -2.6977e+00 -2.7415e+00 +3.6174e+00 +2.1311e+00 +1.7945e+00 +1.3582e+00 +1.7626e+00 +4.6150e+00 -7.8486e-02 +1.5492e-02
85 +2.335950486e+03 +2.335950486e+03 +2.357700486e+03 +2.357700486e+03 +2.9154e+00 -3.9133e+00 -4.1399e+00 -3.2114e+00 -2.2494e-01 -4.9560e+00 -4.4924e+00 -6.5187e-01 +4.3118e+00 +2.5097e+00 +4.3404e+00 +4.5342e+00 +9.2198e-01 +2.5892e+00 -4.8785e+00 -1.8932e+00 +3.6513e+00 -1.4467e-01 +3.0569e+00 -2.0327e+00
127 +8.331274840e+02 +8.331274840e+02 +8.548774840e+02 +8.548774840e+02 +3.6505e+00 -2.9387e+00 +1.4866e+00 -2.1524e+00 +2.6238e+00 -2.8412e+00 +3.3944e+00 +9.3101e-01 +2.8560e-01 +3.7708e+00 +3.2912e+00 +1.5395e-01 +1.4717e+00 -1.0687e+00 -8.2407e-01 +1.6855e+00 +3.7849e+00 +2.7473e+00 +3.8122e+00 +7.7325e-01
379 +5.629657433e+02 +5.629657433e+02 +5.847157433e+02 +5.847157433e+02 -1.3476e+00 +2.4797e+00 -4.9555e+00 +1.3944e+00 +5.8281e-01 -3.3788e+00 +2.4458e+00 +1.7173e+00 +3.6260e+00 +1.8998e+00 -2.9177e+00 +1.4544e+00 +5.8172e-02 +8.1907e-01 -2.2341e+00 -1.8279e+00 -2.5415e+00 -5.5975e-01 -4.9847e+00 +2.9398e-02
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.833637328e+03 +1.833637328e+03 +1.898427328e+03 +1.898427328e+03 -1.5507e+00 +1.8543e-01 -2.4036e+00 +1.7400e+00 -1.7181e+00 -9.4906e-01 +3.2108e+00 -5.1559e-01 +1.0278e+00 +2.3747e+00 -2.2835e+00 -1.3267e+00 -4.5582e+00 +1.1139e+00 +4.4146e+00 -8.2527e-01 -1.6379e+00 -2.8655e+00 -1.2318e+00 +4.0901e+00
43 +1.215483969e+03 +1.215483969e+03 +1.280273969e+03 +1.280273969e+03 +4.8382e+00 -2.4162e+00 -3.4367e+00 +1.7509e+00 +6.9434e-01 -4.0077e+00 +2.1851e+00 -6.9136e-01 -2.2007e+00 +3.5918e+00 +2.9415e+00 +7.2718e-01 +2.2368e+00 +4.5764e+00 -3.0861e+00 -1.6883e+00 +4.2231e+00 +3.5544e+00 -4.9621e-01 -1.6782e+00
85 +8.104779313e+02 +8.104779313e+02 +8.752679313e+02 +8.752679313e+02 -4.3624e+00 -2.5219e+00 -2.9226e+00 +3.7783e+00 -6.3815e-01 -1.9784e+00 -3.2344e+00 -1.0208e+00 -2.4534e+00 -4.5072e+00 +4.1637e+00 -7.4034e-01 -4.5158e+00 +6.6751e-01 +6.4259e-01 -2.6885e+00 +4.8115e+00 +6.5640e-01 -2.4353e+00 +3.4548e+00
1387 +6.281453742e+02 +6.281453742e+02 +6.929353742e+02 +6.929353742e+02 -2.7845e-01 -3.2942e+00 +1.6184e+00 -4.5997e+00 +2.5230e+00 -3.0157e+00 -3.1414e+00 +1.6890e+00 -1.5014e+00 +4.6956e+00 +4.1913e-01 -3.9056e-01 -1.4872e+00 -2.1771e+00 +2.7074e+00 +2.9992e+00 +3.4919e+00 -2.3665e+00 -3.7066e+00 -8.9179e-01
2080 +3.258749052e+02 +3.258749052e+02 +3.906649052e+02 +3.906649052e+02 +1.6696e+00 -4.8708e+00 -6.8312e-01 +1.4088e+00 -2.9315e+00 -2.8026e+00 -3.1886e+00 -4.4363e+00 -3.0447e+00 +3.2869e+00 +1.1539e+00 -2.8434e+00 -2.0394e+00 +2.4803e+00 -3.5947e+00 +4.7039e+00 -2.8683e+00 +3.6403e+00 +9.8296e-01 +2.1356e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.760495330e+03 +1.760495330e+03 +1.782245330e+03 +1.782245330e+03 -1.9649e+00 -2.0168e+00 -2.4005e+00 +1.9244e-01 -2.1545e-01 -1.9936e-01 +1.9971e+00 -4.4698e+00 -2.5488e+00 -4.5521e+00 -1.6267e-01 -1.8043e+00 -1.6147e+00 -2.6120e+00 -1.0846e+00 +9.3784e-01 +1.4485e+00 -2.4790e+00 +2.6557e-01 +3.2589e+00
64 +1.190428337e+03 +1.190428337e+03 +1.212178337e+03 +1.212178337e+03 +2.0569e+00 +1.2209e+00 -4.2737e-02 -1.6855e+00 +1.4597e+00 -4.2237e+00 -6.2902e-01 -3.9811e-01 +3.4665e+00 +2.2071e+00 +3.2639e+00 -8.2423e-01 -4.1899e-01 -4.5550e+00 +2.4846e+00 +6.1333e-01 -1.7447e+00 +3.0775e+00 -2.8151e+00 +4.6825e+00
316 +9.374778868e+02 +9.374778868e+02 +9.592278868e+02 +9.592278868e+02 -2.0870e+00 +3.2912e+00 -4.2324e+00 -1.7649e-01 -1.2530e+00 -2.9053e+00 +3.5633e+00 -2.5602e+00 +1.1462e-01 +2.5535e+00 -1.3756e+00 -9.1312e-01 +3.8232e+00 +6.6292e-01 -1.3620e+00 -3.0998e+00 +4.9919e+00 +4.7990e+00 +3.6056e-01 -1.3189e+00
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.507897062e+03 +3.507897062e+03 +3.572687062e+03 +3.572687062e+03 -1.4914e+00 -1.0408e+00 +1.8292e+00 -2.7819e+00 +2.2495e+00 -3.5242e+00 -8.0153e-01 +2.3932e+00 +3.5561e+00 -4.9263e+00 +4.1570e+00 +1.7688e+00 +4.3237e+00 -3.1010e+00 -2.5489e+00 -4.9486e+00 +2.4453e+00 -1.8514e+00 +1.3829e+00 +2.8566e+00
22 +2.499366256e+03 +2.499366256e+03 +2.564156256e+03 +2.564156256e+03 +3.3038e+00 -2.3929e+00 +8.3213e-02 +3.2816e+00 +3.8119e+00 +2.1916e+00 +6.5918e-01 +9.1637e-01 +1.4989e-01 +3.7919e+00 +1.3826e+00 -4.5355e+00 +3.2992e+00 +1.4801e+00 +9.2802e-01 -3.6194e+00 +3.3855e+00 -3.2040e+00 +3.1905e+00 +3.7887e+00
43 +8.953998412e+02 +8.953998412e+02 +9.601898412e+02 +9.601898412e+02 -6.4864e-01 +3.9861e+00 +2.2756e+00 -3.4619e+00 -3.8950e+00 +1.1266e+00 -2.5462e+00 -2.3491e+00 -2.1572e+00 -2.1545e+00 -3.4207e+00 -2.0223e+00 -1.3415e-01 +4.2454e+00 -3.2612e+00 +2.9377e+00 -2.0739e-01 -2.8470e+00 -4.3252e+00 +2.4653e+00
